Rank,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
334,4/19/2013,Oblivion, 120000000, 89107235, 287916633
335,3/24/2017,Power Rangers, 120000000, 85364450, 142531552
336,7/19/2002,Stuart Little 2, 120000000, 64956806, 166000000
337,2/12/2014,RoboCop, 120000000, 58607007, 242981799
338,6/11/2004,The Chronicles of Riddick, 120000000, 57712751, 107212751
339,8/5/2015,The Fantastic Four, 120000000, 56117548, 167849187
340,5/9/2008,Speed Racer, 120000000, 43945766, 93394462
341,7/22/2005,The Island, 120000000, 35818913, 163018913
342,12/17/2010,How Do You Know?, 120000000, 30212620, 49628177
343,11/9/2018,Outlaw King, 120000000, 0, 0
344,6/23/2010,Knight and Day, 117000000, 76423035, 258751370
345,1/25/2021,Tang Ren Jie Tan An 3, 117000000, 0, 699084069
346,10/2/2018,Venom, 116000000, 213511408, 856081053
347,5/19/1999,Star Wars Ep. I: The Phantom Menace, 115000000, 474544677, 1027044677
348,5/19/2005,Star Wars Ep. III: Revenge of the Sith, 115000000, 380270577, 848998877
349,5/16/2002,Star Wars Ep. II: Attack of the Clones, 115000000, 310676740, 656695615
350,11/2/2001,Monsters Inc., 115000000, 290149425, 560483719
351,7/26/2013,The Wolverine, 115000000, 132556852, 416456852
352,2/7/1997,Danteâs Peak, 115000000, 67163857, 178200000
353,4/6/2016,The Huntsman: Winterâs War, 115000000, 48003015, 165149302
354,6/14/2002,Windtalkers, 115000000, 40914068, 77628265
355,3/6/2019,Triple Frontier, 115000000, 0, 0
356,7/4/2008,AstÃ©rix aux Jeux Olympiques, 113500000, 999811, 132999811
357,12/24/2010,Gulliver's Travels, 112000000, 42779261, 232017848
358,12/8/2017,Ferdinand, 111000000, 84410380, 289838913
359,5/11/2018,Deadpool 2, 110000000, 324591735, 786362370
360,10/3/2013,Gravity, 110000000, 274092705, 688214291
361,12/22/2006,Night at the Museum, 110000000, 250863268, 579446407
362,9/30/2021,Venom: Let There be Carnage, 110000000, 213550366, 501600379
363,6/10/2005,Mr. and Mrs. Smith, 110000000, 186336279, 486124090
364,5/27/2015,San Andreas, 110000000, 155190832, 456258539
365,7/29/2011,The Smurfs, 110000000, 142614158, 563749323
366,6/27/2007,Live Free or Die Hard, 110000000, 134529403, 382288147
367,3/18/2015,The Divergent Series: Insurgent, 110000000, 130179072, 295075882
368,12/10/2004,Ocean's Twelve, 110000000, 125531634, 362989076
369,12/19/1997,Tomorrow Never Dies, 110000000, 125304276, 339504276
370,6/28/2000,The Patriot, 110000000, 113330342, 215300000
371,3/7/2014,300: Rise of an Empire, 110000000, 106580051, 330780051
372,12/17/2004,The Aviator, 110000000, 102608827, 208370892
373,12/21/2016,Passengers, 110000000, 100014699, 302239672
374,1/14/2011,The Green Hornet, 110000000, 98780042, 229155503
375,9/21/2016,Miss Peregrineâs Home for Peculiar Children, 110000000, 87242834, 295986876
376,10/7/2011,Real Steel, 110000000, 85463309, 263880341
377,6/12/2019,Men in Black: International, 110000000, 80001807, 253020464
378,6/11/2010,The A-Team, 110000000, 77222099, 177241171
379,7/31/2013,The Smurfs 2, 110000000, 71017784, 348547523
380,3/9/2016,The Divergent Series: Allegiant, 110000000, 66184051, 172022517
381,6/12/2009,The Taking of Pelham 123, 110000000, 65452312, 152364370
382,10/25/2013,Ender's Game, 110000000, 61737191, 127983283
